#Chromosome	Start	End	Targetsite	Mismatches
chr2	73160981	73161004	EMX1	0
chr5	45359060	45359083	EMX1	2
chr15	44109746	44109769	EMX1	2
chr2	219845055	219845078	EMX1	3
chr8	128801241	128801264	EMX1	2
chr5	9227145	9227168	EMX1	3
chrX	53467704	53467727	EMX1	3
chr5	146833183	146833206	EMX1	3
chr1	23720611	23720634	EMX1	3
chr3	5031597	5031620	EMX1	3
chr6	9118792	9118815	EMX1	3
chr13	27769640	27769663	EMX1	3
chr15	100292461	100292484	EMX1	4
chr3	95690179	95690202	EMX1	4
chr2	218378101	218378124	EMX1	4
chr10	58848711	58848734	EMX1	4
chr15	65637530	65637553	VEGFA_site1	2
chr6	43737290	43737313	VEGFA_site1	0
chr17	39796321	39796344	VEGFA_site1	4
chr1	99347644	99347667	VEGFA_site1	3
chr12	131690181	131690204	VEGFA_site1	2
chr12	1988059	1988082	VEGFA_site1	3
chr17	47317532	47317555	VEGFA_site1	5
chr22	37215258	37215281	VEGFA_site1	1
chr5	32945257	32945280	VEGFA_site1	2
chr6	14316366	14316389	VEGFA_site1	4
chr5	7067141	7067164	VEGFA_site1	4
chr1	233157336	233157359	VEGFA_site1	4
chr5	56172072	56172095	VEGFA_site1	4
chr22	19698456	19698479	VEGFA_site1	4
chr4	8453785	8453808	VEGFA_site1	3
chr3	128284314	128284337	VEGFA_site1	4
chr11	117481201	117481224	VEGFA_site1	4
chr3	195871257	195871280	VEGFA_site1	5
chr11	67574244	67574267	VEGFA_site1	5
chr13	26202794	26202817	VEGFA_site1	3
chr16	8763206	8763229	VEGFA_site1	5
chr3	125633985	125634008	VEGFA_site1	5
chr5	6715101	6715124	VEGFA_site2	3
chr2	242214589	242214612	VEGFA_site2	4
chr9	103599642	103599665	VEGFA_site2	4
chr16	56963422	56963445	VEGFA_site2	4
chr4	38537610	38537633	VEGFA_site2	3
chr11	71948787	71948810	VEGFA_site2	4
chr17	4358745	4358768	VEGFA_site2	3
chr17	40044750	40044773	VEGFA_site2	4
chr9	27338857	27338880	VEGFA_site2	3
chr8	144822944	144822967	VEGFA_site2	4
chr10	116294249	116294272	VEGFA_site2	4
chr22	50884785	50884808	VEGFA_site2	4
chr11	76495782	76495805	VEGFA_site2	4
chr1	151031868	151031891	VEGFA_site2	6
chr8	145008398	145008421	VEGFA_site2	6
chr6	43738555	43738578	VEGFA_site2	0
chr11	31817476	31817499	VEGFA_site2	2
chr10	135149930	135149953	VEGFA_site2	4
chr2	12744758	12744781	VEGFA_site2	4
chr15	33286100	33286123	VEGFA_site2	2
chr13	26626225	26626248	VEGFA_site2	6
chr11	63391083	63391106	VEGFA_site2	3
chr18	21359552	21359575	VEGFA_site2	3
chr11	46141848	46141871	VEGFA_site2	5
chrX	149932511	149932534	VEGFA_site2	5
chr13	100546982	100547005	VEGFA_site2	4
chr19	13122171	13122194	VEGFA_site2	3
chr16	82734564	82734587	VEGFA_site2	5
chrX	129040623	129040646	VEGFA_site2	4
